date,SMA,EMA,MACD_Signal,MACD_Hist,MACD,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Lower Band,Real Middle Band,Chaikin A/D,OBV,WMA,MOM,WILLR,SlowK,SlowD,4. close
2012-01-17,-1.5792083760928644,-1.5632915047112776,0.00851741291842329,0.7817819391936004,0.2828746964590977,0.39271418119482876,-1.1866451181434279,0.7849759259903403,-0.8811011881705186,0.9460387649883141,-1.556530866373528,-1.5989161533147103,-1.5792083760928644,-1.6232238485666872,-1.3653554953101397,-1.5577272058958216,0.8245896547031173,0.8754946491700588,0.772370127581413,0.9469084740595805,-1.515831329737371
2012-01-18,-1.5702657537618412,-1.554701479973852,0.09479048666418356,0.8988530162663974,0.4050949442353941,0.7242120698342941,-1.0616620476020284,0.9300423431670313,-1.0237630682898655,0.9460387649883141,-1.5429559362145064,-1.5947952985868186,-1.5702657537618412,-1.604352532951733,-1.3349319738516727,-1.5474969274767802,0.9866169165759889,1.0678495684402665,0.8339777763454003,0.8915778789927692,-1.4846955176184016
2012-01-19,-1.5594680129685303,-1.5454787786491555,0.19019576712712055,0.9964195620911058,0.5290311703396021,0.874908997182277,-0.9134273073842264,1.0983523026004969,-1.1664249484092124,0.9460387649883141,-1.5321160643680511,-1.584067145009389,-1.5594680129685303,-1.5971274749080984,-1.3046473634102564,-1.5366701540513659,1.2738470626233525,1.00699931558847,1.1479815563683355,0.9925840098572922,-1.4695993662879923
2012-01-19,-1.5594680129685303,-1.5454787786491555,0.19019576712712055,0.9964195620911058,0.5290311703396021,0.874908997182277,-0.9134273073842264,1.0983523026004969,-1.1664249484092124,0.9460387649883141,-1.5321160643680511,-1.584067145009389,-1.5594680129685303,-1.5971274749080984,-1.3046473634102564,-1.5366701540513659,1.2738470626233525,1.00699931558847,1.1479815563683355,0.9925840098572922,-1.4695993662879923
2012-01-23,-1.5431524839284185,-1.5304483061962495,0.36440082267338003,0.8587379362467017,0.6442918297535959,0.7894577301903672,-0.6404661061003011,0.8206160241173949,-1.1664249484092124,0.9460387649883141,-1.5113175404803123,-1.572436360263718,-1.5431524839284185,-1.5847335138207503,-1.3347729755907773,-1.5186721555827378,0.9866169165759889,0.7685173467544626,0.9643191145166471,1.229421359824491,-1.474316913578745
2012-01-23,-1.5431524839284185,-1.5304483061962495,0.36440082267338003,0.8587379362467017,0.6442918297535959,0.7894577301903672,-0.6404661061003011,0.8206160241173949,-1.1664249484092124,0.9460387649883141,-1.5113175404803123,-1.572436360263718,-1.5431524839284185,-1.5847335138207503,-1.3347729755907773,-1.5186721555827378,0.9866169165759889,0.7685173467544626,0.9643191145166471,1.229421359824491,-1.474316913578745
2012-01-24,-1.535208771538626,-1.5242608339047532,0.43306647627379224,0.7106281451805471,0.6567295863389971,0.7337790765847779,-0.5047767180071061,0.6484886502895777,-1.1664249484092124,0.7954600926922648,-1.5047253366808648,-1.5631112031709433,-1.535208771538626,-1.580164833912361,-1.3598154334577122,-1.5111440393974673,0.8319545302427933,0.6987246137489426,0.5671510246552472,1.020926415443336,-1.477147441953197
2012-01-25,-1.526741820608189,-1.515760878701046,0.5038476482648022,0.7332400589947126,0.7311802072098742,1.0660723745614658,-0.33177916342516456,0.8771038563481752,-0.8811011881705186,0.9460387649883141,-1.4925085997335859,-1.558550352027922,-1.526741820608189,-1.5679091910445897,-1.3301784048544039,-1.501478466957256,0.9129681611792291,0.9866921508691271,0.5575875365588276,0.7537738512429009,-1.446955139292378
2012-01-25,-1.526741820608189,-1.515760878701046,0.5038476482648022,0.7332400589947126,0.7311802072098742,1.0660723745614658,-0.33177916342516456,0.8771038563481752,-0.8811011881705186,0.9460387649883141,-1.4925085997335859,-1.558550352027922,-1.526741820608189,-1.5679091910445897,-1.3301784048544039,-1.501478466957256,0.9129681611792291,0.9866921508691271,0.5575875365588276,0.7537738512429009,-1.446955139292378
2012-01-25,-1.526741820608189,-1.515760878701046,0.5038476482648022,0.7332400589947126,0.7311802072098742,1.0660723745614658,-0.33177916342516456,0.8771038563481752,-0.8811011881705186,0.9460387649883141,-1.4925085997335859,-1.558550352027922,-1.526741820608189,-1.5679091910445897,-1.3301784048544039,-1.501478466957256,0.9129681611792291,0.9866921508691271,0.5575875365588276,0.7537738512429009,-1.446955139292378
2012-01-26,-1.5190359439186898,-1.509068026827122,0.5639461093765825,0.6190656944835129,0.7475005190767728,0.8563383986285087,-0.1568000134508133,0.746273116388101,-1.0237630682898655,0.9460387649883141,-1.4844303002821917,-1.5512489075586482,-1.5190359439186898,-1.5757982479938286,-1.3610659416456883,-1.49361148922764,0.7951301525444133,0.6926487480602784,0.3406197816570689,0.5298893275419091,-1.4573337433320346
2012-01-27,-1.5097603516072557,-1.5023777456481346,0.6151981558519034,0.524509974139495,0.7624042229355577,0.9307865031221724,0.009425902200232393,0.62488270118548,-1.1664249484092124,0.7954600926922648,-1.480542812975554,-1.536412089127625,-1.5097603516072557,-1.569060087149852,-1.3346844372005993,-1.4858438640706728,1.038171045353721,0.7983572767363103,0.4006865599769492,0.47013663173626363,-1.4507291771249804
2012-01-30,-1.5011982663967012,-1.4960526935720477,0.6570026388313248,0.42354637449254956,0.7661849305824848,0.9634535227078319,0.11631800473466936,0.49176823766431216,-1.1664249484092124,0.6448814203962155,-1.4768425113569523,-1.5228324724148534,-1.5011982663967012,-1.5567201216311901,-1.3088959700007163,-1.4786862086720525,0.9276979122585811,0.831559117883689,0.21201337821759916,0.3460921083646958,-1.4478986487505288
2012-01-31,-1.4921605097855604,-1.4900579281899025,0.689389123012852,0.3228461123512039,0.761203655364411,0.9972584195397963,0.23785110344180216,0.5617977566798513,-1.1664249484092124,0.9460387649883141,-1.4772172561708052,-1.5040625813671449,-1.4921605097855604,-1.5561296665375182,-1.2812906888536912,-1.4720708645940532,1.0013466676553409,0.7948935922761617,0.38913585357478037,0.3635046524837724,-1.445068120376077
2012-02-01,-1.484264364535827,-1.4828205650439537,0.7216967679996986,0.32202976608384465,0.791273397898298,1.2187025884929774,0.3754508065176076,0.7195157221735209,-1.0237630682898655,0.9460387649883141,-1.4705782792892101,-1.4948826385705682,-1.484264364535827,-1.5517005416818765,-1.2484446457875276,-1.4645064994281218,0.8245896547031173,0.9063048178939266,0.5970602126710781,0.4339949445068699,-1.4261979312130653
